id,Prediction
Test-high crack (1),High Damage
Test-high crack (10),High Damage
Test-high crack (100),High Damage
Test-high crack (101),Medium Damage
Test-high crack (102),High Damage
Test-high crack (103),High Damage
Test-high crack (104),Medium Damage
Test-high crack (105),High Damage
Test-high crack (106),High Damage
Test-high crack (107),High Damage
Test-high crack (108),High Damage
Test-high crack (109),High Damage
Test-high crack (11),High Damage
Test-high crack (110),Medium Damage
Test-high crack (111),Medium Damage
Test-high crack (112),High Damage
Test-high crack (113),High Damage
Test-high crack (114),High Damage
Test-high crack (115),High Damage
Test-high crack (116),High Damage
Test-high crack (117),High Damage
Test-high crack (118),High Damage
Test-high crack (119),High Damage
Test-high crack (12),High Damage
Test-high crack (120),High Damage
Test-high crack (121),High Damage
Test-high crack (13),High Damage
Test-high crack (14),High Damage
Test-high crack (15),High Damage
Test-high crack (16),High Damage
Test-high crack (17),High Damage
Test-high crack (18),High Damage
Test-high crack (19),High Damage
Test-high crack (2),High Damage
Test-high crack (20),High Damage
Test-high crack (21),High Damage
Test-high crack (22),High Damage
Test-high crack (23),High Damage
Test-high crack (24),High Damage
Test-high crack (25),High Damage
Test-high crack (26),High Damage
Test-high crack (27),High Damage
Test-high crack (28),High Damage
Test-high crack (29),High Damage
Test-high crack (3),High Damage
Test-high crack (30),High Damage
Test-high crack (31),Medium Damage
Test-high crack (32),High Damage
Test-high crack (33),High Damage
Test-high crack (34),High Damage
Test-high crack (35),High Damage
Test-high crack (36),High Damage
Test-high crack (37),High Damage
Test-high crack (38),High Damage
Test-high crack (39),High Damage
Test-high crack (4),High Damage
Test-high crack (40),High Damage
Test-high crack (41),High Damage
Test-high crack (42),High Damage
Test-high crack (43),High Damage
Test-high crack (44),High Damage
Test-high crack (45),High Damage
Test-high crack (46),High Damage
Test-high crack (47),High Damage
Test-high crack (48),High Damage
Test-high crack (49),High Damage
Test-high crack (5),High Damage
Test-high crack (50),High Damage
Test-high crack (51),High Damage
Test-high crack (52),High Damage
Test-high crack (53),High Damage
Test-high crack (54),High Damage
Test-high crack (55),High Damage
Test-high crack (56),High Damage
Test-high crack (57),High Damage
Test-high crack (58),High Damage
Test-high crack (59),High Damage
Test-high crack (6),High Damage
Test-high crack (60),High Damage
Test-high crack (61),High Damage
Test-high crack (62),High Damage
Test-high crack (63),High Damage
Test-high crack (64),High Damage
Test-high crack (65),High Damage
Test-high crack (66),High Damage
Test-high crack (67),High Damage
Test-high crack (68),High Damage
Test-high crack (69),High Damage
Test-high crack (7),High Damage
Test-high crack (70),High Damage
Test-high crack (71),High Damage
Test-high crack (72),High Damage
Test-high crack (73),High Damage
Test-high crack (74),High Damage
Test-high crack (75),High Damage
Test-high crack (76),High Damage
Test-high crack (77),High Damage
Test-high crack (78),High Damage
Test-high crack (79),High Damage
Test-high crack (8),Medium Damage
Test-high crack (80),High Damage
Test-high crack (81),High Damage
Test-high crack (82),High Damage
Test-high crack (83),High Damage
Test-high crack (84),High Damage
Test-high crack (85),High Damage
Test-high crack (86),High Damage
Test-high crack (87),High Damage
Test-high crack (88),High Damage
Test-high crack (89),High Damage
Test-high crack (9),High Damage
Test-high crack (90),High Damage
Test-high crack (91),High Damage
Test-high crack (92),High Damage
Test-high crack (93),High Damage
Test-high crack (94),High Damage
Test-high crack (95),High Damage
Test-high crack (96),High Damage
Test-high crack (97),High Damage
Test-high crack (98),High Damage
Test-high crack (99),High Damage
Test-low crack (1),Low Damage
Test-low crack (10),Low Damage
Test-low crack (100),Low Damage
Test-low crack (101),Low Damage
Test-low crack (102),Low Damage
Test-low crack (103),Low Damage
Test-low crack (104),Low Damage
Test-low crack (105),Low Damage
Test-low crack (106),Low Damage
Test-low crack (107),Medium Damage
